uid,eventID,pointID,stemDistance,stemAzimuth,individualID,taxonID,scientificName,taxonRank
16e5ffc9-d6cf-4a38-8a0d-5f3e5e0200a0,vst_BART_2018,43,4.8,252.6,NEON.PLA.D01.BART.02319,FAGR,Fagus grandifolia Ehrh.,species
a7fe6b55-b4a9-47af-9302-65d919d9cada,vst_BART_2015,43,9.9,234.1,NEON.PLA.D01.BART.02320,FAGR,Fagus grandifolia Ehrh.,species
34c22717-0ce6-4bff-ac84-ef481748af38,vst_BART_2015,43,15.4,214.2,NEON.PLA.D01.BART.02321,BEAL2,Betula alleghaniensis Britton,species
3935c48b-fa0e-4a00-90b2-a4b882d59a84,vst_BART_2015,43,15.2,210.8,NEON.PLA.D01.BART.02322,FAGR,Fagus grandifolia Ehrh.,species
6657a0b3-ca3e-4205-920f-3b6a8af60aa6,vst_BART_2015,43,14.7,210.3,NEON.PLA.D01.BART.02322A,FAGR,Fagus grandifolia Ehrh.,species
4b6b5783-5c05-4efd-a666-6efd17f4f347,vst_BART_2015,25,5.9,295.7,NEON.PLA.D01.BART.02323,ACRU,Acer rubrum L.,species
d7352c20-c963-46bf-b097-65b3edfb8aa5,vst_BART_2016,41,8.6,110.3,NEON.PLA.D01.BART.02397,ACPE,Acer pensylvanicum L.,species
ff2a18cc-b897-4be2-87b6-8c22ba060104,vst_BART_2015,43,7.4,231.3,NEON.PLA.D01.BART.02738,FAGR,Fagus grandifolia Ehrh.,species
c7efd313-9f4f-4d1c-85c8-42499a25f374,vst_BART_2015,41,18.6,150.3,NEON.PLA.D01.BART.02741,FAGR,Fagus grandifolia Ehrh.,species
2beff980-c4c6-4587-a373-93ec67bc3d57,vst_BART_2015,25,6.2,276.9,NEON.PLA.D01.BART.02746,FAGR,Fagus grandifolia Ehrh.,species
dcc1f0b8-7d5d-4419-979e-6a1f358eebeb,vst_BART_2015,39,5.6,126.3,NEON.PLA.D01.BART.02772,ACRU,Acer rubrum L.,species
bd1839a4-5d5a-43ba-ab79-532aad2b86cd,vst_BART_2015,23,13.9,293.2,NEON.PLA.D01.BART.02775,FAGR,Fagus grandifolia Ehrh.,species
680857fb-219d-47c8-8304-4bc9ee568c1a,vst_BART_2015,39,9.7,172.5,NEON.PLA.D01.BART.02776,FAGR,Fagus grandifolia Ehrh.,species
7013d3c3-21e2-4d45-bb5e-c47babfbfa1d,vst_BART_2015,21,17.9,22.6,NEON.PLA.D01.BART.02777,FAGR,Fagus grandifolia Ehrh.,species
d6205bc3-ca2c-450b-9d78-692af3a6dfec,vst_BART_2015,21,12.2,43.5,NEON.PLA.D01.BART.02779,FAGR,Fagus grandifolia Ehrh.,species
82fd6868-0ccf-4493-8136-17df943a12fe,vst_BART_2015,23,13.6,308.3,NEON.PLA.D01.BART.02780,ACRU,Acer rubrum L.,species
feef82b1-b374-4050-bf60-0ca4c709356d,vst_BART_2015,21,9.1,42.4,NEON.PLA.D01.BART.02781,ACRU,Acer rubrum L.,species
4070c43c-4573-485f-a321-21db419c7a87,vst_BART_2015,21,9.1,42.4,NEON.PLA.D01.BART.02781A,ACRU,Acer rubrum L.,species
960e6233-4d58-4749-b903-a686d06f7f33,vst_BART_2015,25,4.2,274.5,NEON.PLA.D01.BART.02783,FAGR,Fagus grandifolia Ehrh.,species
951e4800-8999-45fd-afc7-fe93cec05b0f,vst_BART_2015,39,7.6,32.2,NEON.PLA.D01.BART.02791,ACRU,Acer rubrum L.,species
c3be7255-5270-481f-8c68-609391b0905a,vst_BART_2015,39,7.6,32.2,NEON.PLA.D01.BART.02791A,ACRU,Acer rubrum L.,species
458b9835-72e0-440e-8652-35ea6e54c072,vst_BART_2015,39,9.4,41.7,NEON.PLA.D01.BART.02792,BEPA,Betula papyrifera Marshall,species
47b36340-6af5-45be-b275-6528c92af146,vst_BART_2015,39,9.9,40.6,NEON.PLA.D01.BART.02793,BEPA,Betula papyrifera Marshall,species
0a2b5586-7120-4190-8354-040e314b8307,vst_BART_2018,43,4.7,185.2,NEON.PLA.D01.BART.02802,FAGR,Fagus grandifolia Ehrh.,species
96cefe1e-acdd-47c3-92d0-c49c2e4087e3,vst_BART_2015,39,1.1,112.5,NEON.PLA.D01.BART.02805,FAGR,Fagus grandifolia Ehrh.,species
476760e9-1050-409d-a652-3a80fdcff21c,vst_BART_2015,21,9.3,79.3,NEON.PLA.D01.BART.02806,TSCA,Tsuga canadensis (L.) Carrière,species
b499c443-323f-4a0b-a987-84149de3f893,vst_BART_2015,21,4.3,75.6,NEON.PLA.D01.BART.02807,ACRU,Acer rubrum L.,species
3ef50396-7ced-4f73-879d-352b9d3418a1,vst_BART_2015,21,14.4,49.7,NEON.PLA.D01.BART.02808,FAGR,Fagus grandifolia Ehrh.,species
ef78bbdd-2877-4d7a-8e1e-b1fcd1dd6021,vst_BART_2015,41,20.9,139.4,NEON.PLA.D01.BART.02829,FAGR,Fagus grandifolia Ehrh.,species
97878c1b-c4fc-4c14-ad8b-9c7aa83a78f1,vst_BART_2015,41,21.9,40.3,NEON.PLA.D01.BART.02830,FAGR,Fagus grandifolia Ehrh.,species
f16efaa6-8bbe-4ec6-b91d-a9948eb52957,vst_BART_2015,39,3.7,65.8,NEON.PLA.D01.BART.02836,ACRU,Acer rubrum L.,species
8951f044-6d81-40c0-b505-5d6512b5ad9a,vst_BART_2015,39,8.7,70.5,NEON.PLA.D01.BART.02837,FAGR,Fagus grandifolia Ehrh.,species
ba791fd8-57f2-409e-8cb0-36d8121f1ff3,vst_BART_2015,39,8.1,68.1,NEON.PLA.D01.BART.02838,BEAL2,Betula alleghaniensis Britton,species
cf742925-aeeb-4425-8de1-22d5511e1994,vst_BART_2015,57,8.2,171.1,NEON.PLA.D01.BART.02854,FAGR,Fagus grandifolia Ehrh.,species
fc3c6e4b-bbbb-4376-a0f5-95b426f610fd,vst_BART_2015,57,4,122.4,NEON.PLA.D01.BART.02855,FAGR,Fagus grandifolia Ehrh.,species
b63a7c20-7019-47f8-a054-5b7e4c9c1dc9,vst_BART_2015,57,8.8,90.5,NEON.PLA.D01.BART.02856,TSCA,Tsuga canadensis (L.) Carrière,species
32169519-3752-4920-9994-d64933b70e1c,vst_BART_2015,57,5.2,98.7,NEON.PLA.D01.BART.02857,FAGR,Fagus grandifolia Ehrh.,species
4911e7aa-e604-4e17-9f2d-b18f6c94f592,vst_BART_2015,57,12.1,134.5,NEON.PLA.D01.BART.02858,TSCA,Tsuga canadensis (L.) Carrière,species
9669cd8c-c3d2-4274-9ce1-0aaa1517fb49,vst_BART_2015,57,9.7,144.1,NEON.PLA.D01.BART.02859,BEPA,Betula papyrifera Marshall,species
6381aecb-63dd-465e-801c-1b15f6fa689f,vst_BART_2015,61,5.1,206.8,NEON.PLA.D01.BART.02901,TSCA,Tsuga canadensis (L.) Carrière,species
